happiness_rank,year,country,region,happiness_score,gdp_percapita,life_expectancy,family,freedom,generosity,government_corruption,total_pop,pop_density,age_pop
42,2015,El Salvador,Latin America and Caribbean,6.13,0.76454,0.67737,1.02507,0.4035,0.10692,0.11776,6183676.5,298.43998552123554,23.8335502072857
43,2015,Guatemala,Latin America and Caribbean,6.123,0.74553,0.64425,1.04356,0.57733,0.27489,0.09472,15971743.0,149.0457540126913,19.9969371635784
44,2015,Uzbekistan,Central and Eastern Europe,6.003,0.63244,0.59772,1.34043,0.65821,0.22837,0.30826,30749346.5,72.28337212035731,25.2675540965234
45,2015,Slovakia,Central and Eastern Europe,5.995,1.16891,0.78902,1.26999,0.31751,0.16893,0.03431,5420278.0,110.54347072379826,38.1945931972541
46,2015,Japan,Eastern Asia,5.987,1.27074,0.99111,1.25712,0.49615,0.10705,0.1806,127275872.5,337.75946463070295,45.8446969655174
47,2015,"Korea, Republic of",Eastern Asia,5.984,1.24461,0.96538,0.95774,0.33208,0.18557,0.07857,50983911.5,515.2856846871431,39.8667146317472
48,2015,Ecuador,Latin America and Caribbean,5.975,0.86402,0.79075,0.99903,0.48574,0.11541,0.1809,16266225.0,65.49454421001772,25.3555325872658
49,2015,Bahrain,Middle East and Northern Africa,5.96,1.32376,0.74716,1.21624,0.45492,0.17362,0.306,1369650.0,1749.233716475096,30.0228081972449
50,2015,Italy,Western Europe,5.948,1.25114,0.95446,1.19777,0.26236,0.22823,0.02901,60575316.0,204.66362361685952,44.4021070741814
51,2015,"Bolivia, Plurinational State of",Latin America and Caribbean,5.89,0.68133,0.5392,0.97841,0.57414,0.20536,0.088,11014705.0,10.167761011061602,22.7503400937997
52,2015,"Moldova, Republic of",Central and Eastern Europe,5.889,0.59448,0.61826,1.01528,0.32818,0.20951,0.01615,3287164.5,99.96850860653244,35.044618100145
53,2015,Paraguay,Latin America and Caribbean,5.878,0.75985,0.66098,1.30477,0.53899,0.3424,0.08242,6159103.0,15.2278527331301,23.9155584448596
54,2015,Kazakhstan,Central and Eastern Europe,5.855,1.12254,0.64368,1.12241,0.51649,0.11827,0.08454,18084169.0,6.698584657554543,28.2596296252834
55,2015,Slovenia,Central and Eastern Europe,5.848,1.18498,0.87337,1.27385,0.60855,0.25328,0.03787,2059947.0,102.29153838514252,41.936741636168
56,2015,Lithuania,Central and Eastern Europe,5.833,1.14723,0.73128,1.25745,0.21342,0.02641,0.01031,2905764.0,46.40238897494451,41.8968022374575
57,2015,Nicaragua,Latin America and Caribbean,5.828,0.59325,0.74314,1.14184,0.55475,0.27815,0.19317,6149417.0,51.10035732092405,22.6690330876259
58,2015,Peru,Latin America and Caribbean,5.824,0.90019,0.73017,0.97459,0.41496,0.14982,0.05989,30457600.0,23.793401380844724,27.0552751212103
59,2015,Belarus,Central and Eastern Europe,5.813,1.03192,0.73608,1.23289,0.37938,0.11046,0.1909,9487293.0,46.75616283081169,38.5300107590722
60,2015,Poland,Central and Eastern Europe,5.791,1.12555,0.77903,1.27948,0.53122,0.16759,0.04212,38266314.0,124.97408179128266,38.3169097798178
61,2015,Malaysia,Southeastern Asia,5.77,1.12486,0.72394,1.07023,0.53024,0.33075,0.10501,31232797.5,95.0625399482575,26.8010088295859
62,2015,Croatia,Central and Eastern Europe,5.759,1.08254,0.78805,0.79624,0.25883,0.05444,0.0243,4183728.5,74.84844174896236,42.3066732448728
63,2015,Libya,Middle East and Northern Africa,5.754,1.13145,0.7038,1.11862,0.41668,0.18295,0.11023,6531819.5,3.896806642174731,25.371632097494
64,2015,Russia,Central and Eastern Europe,5.716,1.13764,0.66926,1.23617,0.36679,0.00199,0.03005,145307615.5,8.873386073373378,37.6848502679957
65,2015,Jamaica,Latin America and Caribbean,5.709,0.81038,0.68741,1.15102,0.50442,0.2123,0.02299,2802534.0,258.77506925207757,27.7904498345232
66,2015,North Cyprus,Western Europe,5.695,1.20806,0.92356,1.07008,0.49027,0.26169,0.1428,1219501.5,131.9806818181818,34.5647140612665
67,2015,Cyprus,Western Europe,5.689,1.20813,0.92356,0.89318,0.40672,0.30638,0.06146,1219501.5,131.9806818181818,34.5647140612665
68,2015,Algeria,Middle East and Northern Africa,5.605,0.93929,0.61766,1.07772,0.28579,0.07822,0.17383,40019529.0,16.802643865409323,26.583351483661
69,2015,Kosovo,Central and Eastern Europe,5.589,0.80148,0.63132,0.81198,0.24749,0.2831,0.04741,1779020.0,163.13801008711602,27.2426443146003
70,2015,Turkmenistan,Central and Eastern Europe,5.548,0.95847,0.53886,1.22668,0.4761,0.16979,0.30844,6215770.0,13.227012533781627,24.2485200459213
71,2015,Mauritius,Sub-Saharan Africa,5.477,1.00761,0.7095,0.98521,0.56066,0.37744,0.07521,1292275.5,636.5889162561576,34.0294480402925
72,2015,Hong Kong,Eastern Asia,5.474,1.38604,1.01328,1.05818,0.59608,0.39478,0.37124,7366409.5,6702.829390354868,41.7383864415183
73,2015,Estonia,Central and Eastern Europe,5.429,1.15174,0.77361,1.22791,0.44888,0.0868,0.15184,1314576.0,30.2437767450421,40.5660451548902
74,2015,Indonesia,Southeastern Asia,5.399,0.82827,0.63793,1.08708,0.46611,0.51535,0.0,261799249.0,137.0008906653354,27.8590027877948
75,2015,Viet Nam,Southeastern Asia,5.36,0.63216,0.74676,0.91226,0.59444,0.1686,0.10441,92823254.0,296.1729050537796,29.1926269014771
76,2015,Turkey,Middle East and Northern Africa,5.332,1.06098,0.73172,0.94632,0.22815,0.12253,0.15746,80014226.0,103.9680485028664,29.6211528359
77,2015,Kyrgyzstan,Central and Eastern Europe,5.286,0.47428,0.65088,1.15115,0.43477,0.3003,0.04232,6001882.0,31.29239833159541,23.9762771354222
78,2015,Nigeria,Sub-Saharan Africa,5.268,0.65435,0.16007,0.90432,0.34334,0.27233,0.0403,190671878.0,209.3523919321014,16.6656058509464
79,2015,Bhutan,Southern Asia,5.253,0.77042,0.57407,1.10395,0.53206,0.47998,0.15445,740618.0,19.28994113663593,24.9419574243015
80,2015,Azerbaijan,Central and Eastern Europe,5.212,1.02389,0.64045,0.93793,0.3703,0.07799,0.16065,9752850.0,117.99039415422584,29.6253213296224
81,2015,Pakistan,Southern Asia,5.194,0.59543,0.51466,0.41411,0.12102,0.33671,0.10464,217290882.5,281.873809801785,19.2441381266648
82,2015,Jordan,Middle East and Northern Africa,5.192,0.90198,0.69639,1.05392,0.40661,0.11053,0.14293,9544729.0,107.49294997409734,21.4948737323625
82,2015,Montenegro,Central and Eastern Europe,5.192,0.97438,0.72521,0.90557,0.1826,0.1614,0.14296,628145.0,45.478207355922386,36.7789762151081
84,2015,China,Eastern Asia,5.14,0.89012,0.81658,0.94675,0.51697,0.08185,0.02781,1396134173.5,145.43064307291667,35.6901963147417
85,2015,Zambia,Sub-Saharan Africa,5.129,0.47038,0.29924,0.91612,0.48827,0.19591,0.12468,16399088.500000002,22.059872341570376,16.1146677184149
86,2015,Romania,Central and Eastern Europe,5.124,1.04345,0.7689,0.88588,0.35068,0.13748,0.00649,19871019.5,86.36719823015004,40.2683548476368
87,2015,Serbia,Central and Eastern Europe,5.123,0.92053,0.74836,1.00964,0.20107,0.19231,0.02617,7177253.0,93.53175823603004,42.2472239050912
88,2015,Portugal,Western Europe,5.102,1.15991,0.87519,1.13935,0.51469,0.13719,0.01078,10370267.0,112.73867478393215,42.8224011249674
89,2015,Latvia,Central and Eastern Europe,5.098,1.11312,0.72437,1.09562,0.29671,0.18226,0.06332,1977867.0,31.78470760280907,41.8190476292297
90,2015,Philippines,Southeastern Asia,5.073,0.70532,0.58114,1.03516,0.62545,0.24991,0.12279,105312991.5,351.043305,22.2128455407803
91,2015,Somaliland region,Sub-Saharan Africa,5.057,0.18847,0.43873,0.95152,0.46582,0.50318,0.39928,13806963.5,22.008740874167117,14.9991750443895
92,2015,Morocco,Middle East and Northern Africa,5.013,0.73479,0.60954,0.64095,0.41691,0.07172,0.08546,34607588.5,77.54333071924714,26.4339170993029
93,2015,Macedonia,Central and Eastern Europe,5.007,0.91851,0.73545,1.00232,0.33457,0.22359,0.05327,1980366.0,79.49126961827159,36.837251558717
94,2015,Mozambique,Sub-Saharan Africa,4.971,0.08308,0.09131,1.02626,0.34037,0.22269,0.15603,26547572.5,33.759216282204534,15.8332032044975
95,2015,Albania,Central and Eastern Europe,4.959,0.87867,0.81325,0.80434,0.35733,0.14272,0.06413,2898632.0,105.79721147529015,33.2859611745487
96,2015,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.83223,0.79081,0.91916,0.09245,0.24808,0.00227,3518540.5,68.72552102662266,41.2008914310833
97,2015,Lesotho,Sub-Saharan Africa,4.898,0.37545,0.07612,1.04103,0.31767,0.16388,0.12504,2104611.5,69.32185441370224,20.3457961713668
98,2015,Dominican Republic,Latin America and Caribbean,4.885,0.89537,0.66825,1.17202,0.57672,0.21684,0.14234,10434829.0,215.99281737078513,25.137638803264
99,2015,Lao People's Democratic Republic,Southeastern Asia,4.876,0.59066,0.54909,0.73803,0.59591,0.42192,0.24249,6801645.5,29.469867850953207,21.9846418245444
100,2015,Mongolia,Eastern Asia,4.874,0.82819,0.60268,1.3006,0.43626,0.3323,0.02666,2976525.5,1.911139668986896,25.7025728621699
101,2015,Swaziland,Sub-Saharan Africa,4.867,0.71206,0.07566,1.07284,0.30658,0.18259,0.0306,1142812.5,65.81883891032656,19.9532122075035
102,2015,Greece,Western Europe,4.857,1.15406,0.88213,0.92933,0.07699,0.0,0.01397,10820902.5,82.71596468429904,42.6823728255107
103,2015,Lebanon,Middle East and Northern Africa,4.839,1.02564,0.83947,0.80001,0.33916,0.21854,0.04582,6472469.0,632.694916911046,28.3709779467947
104,2015,Hungary,Central and Eastern Europe,4.8,1.12094,0.75905,1.20215,0.32112,0.128,0.02758,9839211.0,108.6845355130896,40.7308268427746
105,2015,Honduras,Latin America and Caribbean,4.788,0.59532,0.6951,0.95348,0.40148,0.23027,0.06825,9237305.0,84.68842253882686,20.9081734283923
106,2015,Tajikistan,Central and Eastern Europe,4.786,0.39047,0.57379,0.85563,0.47216,0.22974,0.15072,8643840.0,60.4041928721174,20.7047400853298
107,2015,Tunisia,Middle East and Northern Africa,4.739,0.88113,0.73793,0.60429,0.26268,0.06431,0.06358,11402264.0,73.35948015183683,29.3987687506375
108,2015,Palestinian Territories,Middle East and Northern Africa,4.715,0.59867,0.66015,0.92558,0.24499,0.11251,0.12905,4521565.0,751.0905315614618,18.5809176281577
109,2015,Bangladesh,Southern Asia,4.694,0.39753,0.60164,0.43106,0.4082,0.21222,0.12569,159383179.0,1224.423284935085,23.4573619559771
110,2015,"Iran, Islamic Republic of",Middle East and Northern Africa,4.686,1.0088,0.69805,0.54447,0.30033,0.38086,0.05863,82619362.0,50.725625172678434,28.7298450299598
111,2015,Ukraine,Central and Eastern Europe,4.681,0.79907,0.6739,1.20278,0.25123,0.15275,0.02961,45784896.0,79.03213422633432,39.2323782851301
112,2015,Iraq,Middle East and Northern Africa,4.677,0.98549,0.60237,0.81889,0.0,0.17922,0.13788,37560534.5,86.51949309880956,18.5072594305341
113,2015,South Africa,Sub-Saharan Africa,4.642,0.92049,0.27688,1.18468,0.33207,0.11973,0.08884,56723536.5,46.46373891824546,25.3645520465228
114,2015,Ghana,Sub-Saharan Africa,4.633,0.54558,0.40132,0.67954,0.42342,0.23087,0.04355,28696067.5,126.11438648149776,19.7755174733068
115,2015,Zimbabwe,Sub-Saharan Africa,4.61,0.271,0.33475,1.03276,0.25861,0.18987,0.08079,14399013.0,37.221178751454055,16.728912658314
116,2015,Liberia,Sub-Saharan Africa,4.571,0.0712,0.34201,0.78968,0.28531,0.24362,0.06232,4659431.0,48.374491279069765,17.5700592140655
117,2015,India,Southern Asia,4.565,0.64499,0.51529,0.38174,0.39786,0.26475,0.08492,1328024497.5,446.6665425014883,25.2707645870168
118,2015,Sudan,Sub-Saharan Africa,4.55,0.52107,0.36878,1.01404,0.10081,0.19062,0.1466,40024431.5,22.6761098758809,16.784377382709
119,2015,Haiti,Latin America and Caribbean,4.518,0.26673,0.38847,0.74302,0.24425,0.46187,0.17175,10523241.5,381.7055932387827,21.5001654172905
120,2015,Congo (Kinshasa),Sub-Saharan Africa,4.517,0.0,0.09806,1.0012,0.22605,0.24834,0.07625,81035531.0,35.744924461304336,15.8140412165666
121,2015,Nepal,Southern Asia,4.514,0.35997,0.56874,0.86449,0.38282,0.32296,0.05907,27823629.0,189.0436197607028,21.2383204126961
122,2015,Ethiopia,Sub-Saharan Africa,4.512,0.19073,0.44055,0.60406,0.4345,0.24325,0.15048,103867134.5,103.8671345,17.0090514725414
123,2015,Sierra Leone,Sub-Saharan Africa,4.507,0.33024,0.0,0.95571,0.4084,0.21488,0.08786,7037655.0,98.0994563702258,17.6618716672012
124,2015,Mauritania,Sub-Saharan Africa,4.436,0.45407,0.35874,0.86908,0.24232,0.219,0.17461,3965958.5,3.847830115455515,16.7000428240147
125,2015,Kenya,Sub-Saharan Africa,4.419,0.36471,0.41435,0.99876,0.42215,0.37542,0.05839,47088526.0,81.08533771404169,17.6528160699749
126,2015,Djibouti,Sub-Saharan Africa,4.369,0.44025,0.36291,0.59207,0.46074,0.18093,0.28105,1020313.0,44.01695427092321,22.0287117433445
127,2015,Armenia,Central and Eastern Europe,4.35,0.76821,0.7299,0.77711,0.19847,0.07855,0.039,2921177.5,102.62709035975269,32.714527181311
128,2015,Botswana,Sub-Saharan Africa,4.332,0.99355,0.04776,1.10464,0.49495,0.10461,0.12474,2203273.0,3.8876943165175657,21.6645130199765
129,2015,Myanmar,Southeastern Asia,4.307,0.27108,0.48246,0.70905,0.44017,0.79588,0.19034,51089055.5,78.20272084372944,27.3511738178874
130,2015,Georgia,Central and Eastern Europe,4.297,0.7419,0.72926,0.38562,0.40577,0.05547,0.38331,3791572.5,54.56285076989495,36.0561172583475
131,2015,Malawi,Sub-Saharan Africa,4.292,0.01604,0.22562,0.41134,0.43054,0.33128,0.06977,17085587.0,180.70042939334968,15.9793588261547
132,2015,Sri Lanka,Southern Asia,4.271,0.83524,0.70806,1.01905,0.53726,0.40828,0.09179,21729971.5,346.5428833426362,30.7316465699382
133,2015,Cameroon,Sub-Saharan Africa,4.252,0.4225,0.23402,0.88767,0.49309,0.20618,0.05786,22763414.5,48.84328827379037,17.1885990346795
134,2015,Bulgaria,Central and Eastern Europe,4.218,1.01216,0.76649,1.10614,0.30587,0.11921,0.00872,7177517.0,66.21569984132256,42.5272304142705
135,2015,Egypt,Middle East and Northern Africa,4.194,0.8818,0.61712,0.747,0.17288,0.11291,0.06324,99597342.0,100.05258124466322,22.8783428870614
136,2015,Yemen,Middle East and Northern Africa,4.077,0.54649,0.40064,0.68093,0.35571,0.09131,0.07854,31159379.0,59.01732863609675,17.6653987469423
137,2015,Angola,Sub-Saharan Africa,4.033,0.75778,0.16683,0.8604,0.10384,0.12344,0.07122,28157798.0,22.58586508382129,16.2922570549676
138,2015,Mali,Sub-Saharan Africa,3.995,0.26074,0.20583,1.03526,0.38857,0.18798,0.12352,18593022.0,15.23780886583237,14.8803699114829
139,2015,Congo (Brazzaville),Sub-Saharan Africa,3.989,0.67866,0.31051,0.6629,0.41466,0.12388,0.11686,5097580.5,14.927029282576866,18.2167573684631
140,2015,Comoros,Sub-Saharan Africa,3.956,0.23906,0.36315,0.79273,0.22917,0.17441,0.199,726682.0,390.4793121977431,18.7452892491562
141,2015,Uganda,Sub-Saharan Africa,3.931,0.21102,0.33861,1.13299,0.45727,0.29066,0.07267,37531445.5,187.83849164443689,14.7521555337975
142,2015,Senegal,Sub-Saharan Africa,3.904,0.36498,0.4354,0.97619,0.36772,0.20843,0.10713,14593330.5,75.7976964628889,17.5380342160019
143,2015,Gabon,Sub-Saharan Africa,3.896,1.06024,0.43372,0.90528,0.31914,0.06822,0.11091,2040989.5,7.920943454806536,21.2100850335458
144,2015,Niger,Sub-Saharan Africa,3.845,0.0694,0.29707,0.77265,0.47692,0.19387,0.15639,19939498.0,15.74129470277098,14.3429741775066
145,2015,Cambodia,Southeastern Asia,3.819,0.46038,0.61114,0.62736,0.66246,0.40359,0.07247,15623250.5,86.29961333443809,23.2145474216684
146,2015,"Tanzania, United Republic of",Sub-Saharan Africa,3.781,0.2852,0.38215,1.00268,0.32878,0.34377,0.05747,52020962.0,58.72746197517958,16.4042364386865
147,2015,Madagascar,Sub-Saharan Africa,3.681,0.20824,0.46721,0.66801,0.19184,0.21333,0.08124,25426702.5,43.70388624859272,17.4683803564292
148,2015,Central African Republic,Sub-Saharan Africa,3.678,0.0785,0.06699,0.0,0.48879,0.23835,0.08289,4629320.5,7.4309295643519855,14.3696629200202
149,2015,Chad,Sub-Saharan Africa,3.667,0.34193,0.1501,0.76062,0.23501,0.18386,0.05269,14647621.0,11.63248173443456,14.6419078597799
150,2015,Guinea,Sub-Saharan Africa,3.656,0.17417,0.24009,0.46475,0.37725,0.28657,0.12139,11767070.0,47.88812469477454,16.886225482534
151,2015,Ivory Coast,Sub-Saharan Africa,3.655,0.46534,0.15185,0.77115,0.46866,0.20165,0.17922,25246342.5,79.39101415094339,17.9473676631834
152,2015,Burkina Faso,Sub-Saharan Africa,3.587,0.25812,0.27125,0.85188,0.39493,0.21747,0.12832,18777487.0,68.63116593567251,16.0328609891286
153,2015,Afghanistan,Southern Asia,3.575,0.31982,0.30335,0.30285,0.23414,0.3651,0.09719,33831763.5,52.10530097212981,15.4897428891074
